cod_ap_sms,subgrupo,ano,obitos,faixa_etaria
1.0,1.2.2. Red por at à mulher no parto,2025,8,menores de 1 ano
2.1,1.2.2. Red por at à mulher no parto,2025,1,menores de 1 ano
2.2,1.2.2. Red por at à mulher no parto,2025,3,menores de 1 ano
3.1,1.2.2. Red por at à mulher no parto,2025,8,menores de 1 ano
3.2,1.2.2. Red por at à mulher no parto,2025,6,menores de 1 ano
3.3,1.2.2. Red por at à mulher no parto,2025,10,menores de 1 ano
4.0,1.2.2. Red por at à mulher no parto,2025,10,menores de 1 ano
5.1,1.2.2. Red por at à mulher no parto,2025,4,menores de 1 ano
5.2,1.2.2. Red por at à mulher no parto,2025,7,menores de 1 ano
5.3,1.2.2. Red por at à mulher no parto,2025,10,menores de 1 ano
